city,Delicious Chinese food and service,Delicious food and friendly service.,Dining experience and atmosphere,Food quality and value,Friendly service and great drinks,Pharmacy service quality concerns,Poor service and rude staff,Positive dining experiences.,Restaurant quality and service issues,Service and order issues
Columbia,0.0,6.25,6.25,0.0,25.0,0.0,43.75,6.25,6.25,6.25
Conshohocken,0.0,35.483870967741936,16.129032258064516,0.0,0.0,0.0,9.67741935483871,22.58064516129032,16.129032258064516,0.0
Doylestown,0.0,12.5,0.0,81.25,6.25,0.0,0.0,0.0,0.0,0.0
Drexel Hill,25.0,12.5,0.0,0.0,0.0,0.0,0.0,18.75,18.75,25.0
Dunedin,0.0,35.714285714285715,14.285714285714285,0.0,0.0,0.0,21.428571428571427,7.142857142857142,14.285714285714285,7.142857142857142
Eagle,0.0,15.384615384615385,0.0,15.384615384615385,15.384615384615385,15.384615384615385,23.076923076923077,7.6923076923076925,7.6923076923076925,0.0
East Norriton,0.0,53.84615384615385,0.0,0.0,0.0,0.0,7.6923076923076925,15.384615384615385,23.076923076923077,0.0
Edgewater Park,0.0,0.0,28.57142857142857,0.0,0.0,14.285714285714285,57.14285714285714,0.0,0.0,0.0
Edmonton,0.4166666666666667,30.833333333333336,2.083333333333333,14.166666666666666,8.333333333333332,0.8333333333333334,2.5,24.583333333333332,12.5,3.75
Fairless Hills,0.0,13.793103448275861,0.0,13.793103448275861,0.0,20.689655172413794,0.0,24.137931034482758,20.689655172413794,6.896551724137931
Fairview Heights,16.129032258064516,19.35483870967742,3.225806451612903,0.0,0.0,9.67741935483871,9.67741935483871,16.129032258064516,12.903225806451612,12.903225806451612
Feasterville,0.0,0.0,6.666666666666667,0.0,93.33333333333333,0.0,0.0,0.0,0.0,0.0
Florissant,0.0,53.84615384615385,7.6923076923076925,0.0,0.0,0.0,0.0,15.384615384615385,15.384615384615385,7.6923076923076925
Franklin,20.454545454545457,9.090909090909092,2.272727272727273,6.8181818181818175,0.0,2.272727272727273,4.545454545454546,15.909090909090908,29.545454545454547,9.090909090909092
Glenside,0.0,0.0,13.333333333333334,0.0,66.66666666666666,6.666666666666667,0.0,13.333333333333334,0.0,0.0
Goodlettsville,0.0,0.0,0.0,0.0,7.142857142857142,0.0,28.57142857142857,7.142857142857142,28.57142857142857,28.57142857142857
Greenwood,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,6.25
Haddonfield,0.0,78.57142857142857,0.0,0.0,0.0,0.0,0.0,14.285714285714285,7.142857142857142,0.0
Hamilton Township,0.0,6.666666666666667,6.666666666666667,0.0,0.0,0.0,6.666666666666667,66.66666666666666,13.333333333333334,0.0
Hammonton,0.0,26.666666666666668,0.0,6.666666666666667,0.0,20.0,0.0,40.0,6.666666666666667,0.0
Harahan,0.0,0.0,21.428571428571427,21.428571428571427,14.285714285714285,0.0,21.428571428571427,21.428571428571427,0.0,0.0
Harleysville,0.0,25.0,6.25,25.0,0.0,0.0,0.0,18.75,25.0,0.0
Hatfield,0.0,0.0,0.0,0.0,30.76923076923077,15.384615384615385,7.6923076923076925,38.46153846153847,7.6923076923076925,0.0
High Ridge,56.25,18.75,0.0,6.25,0.0,0.0,0.0,6.25,6.25,6.25
Horsham,0.0,20.0,13.333333333333334,53.333333333333336,0.0,0.0,0.0,0.0,13.333333333333334,0.0
Indian Rocks Beach,0.0,7.6923076923076925,0.0,30.76923076923077,15.384615384615385,7.6923076923076925,0.0,23.076923076923077,7.6923076923076925,7.6923076923076925
Indianapolis,2.4752475247524752,21.287128712871286,4.9504950495049505,6.435643564356436,1.4851485148514851,3.9603960396039604,10.891089108910892,14.356435643564355,22.772277227722775,11.386138613861387
Kenner,0.0,9.67741935483871,3.225806451612903,3.225806451612903,0.0,3.225806451612903,12.903225806451612,16.129032258064516,35.483870967741936,16.129032258064516
Kennett Square,0.0,0.0,11.76470588235294,0.0,70.58823529411765,17.647058823529413,0.0,0.0,0.0,0.0
King of Prussia,24.137931034482758,6.896551724137931,0.0,24.137931034482758,0.0,0.0,6.896551724137931,17.24137931034483,13.793103448275861,6.896551724137931
Kirkwood,0.0,0.0,6.25,0.0,75.0,0.0,12.5,6.25,0.0,0.0
La Vergne,0.0,0.0,0.0,0.0,7.6923076923076925,7.6923076923076925,61.53846153846154,7.6923076923076925,7.6923076923076925,7.6923076923076925
Lahaska,0.0,6.25,87.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0
Lambertville,0.0,35.714285714285715,0.0,21.428571428571427,7.142857142857142,0.0,0.0,35.714285714285715,0.0,0.0
Land O Lakes,0.0,2.7027027027027026,2.7027027027027026,0.0,35.13513513513514,35.13513513513514,16.216216216216218,0.0,2.7027027027027026,5.405405405405405
Langhorne,0.0,61.111111111111114,0.0,0.0,0.0,5.555555555555555,0.0,16.666666666666664,16.666666666666664,0.0
Lansdowne,0.0,31.25,6.25,6.25,0.0,12.5,0.0,31.25,12.5,0.0
Lawrence,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,13.333333333333334,20.0,60.0
Madison,0.0,43.75,0.0,0.0,0.0,0.0,12.5,25.0,18.75,0.0
Mantua,0.0,5.88235294117647,0.0,0.0,0.0,0.0,41.17647058823529,17.647058823529413,23.52941176470588,11.76470588235294
Maple Shade,0.0,0.0,0.0,73.33333333333333,6.666666666666667,0.0,13.333333333333334,0.0,0.0,6.666666666666667
Maplewood,0.0,0.0,0.0,0.0,92.85714285714286,7.142857142857142,0.0,0.0,0.0,0.0
Marana,0.0,0.0,6.666666666666667,26.666666666666668,6.666666666666667,0.0,26.666666666666668,6.666666666666667,6.666666666666667,20.0
Marlton,0.0,0.0,25.0,0.0,56.25,0.0,18.75,0.0,0.0,0.0
Meridian,0.0,23.52941176470588,5.88235294117647,11.76470588235294,0.0,20.588235294117645,2.941176470588235,23.52941176470588,8.823529411764707,2.941176470588235
Metairie,0.0,7.6923076923076925,76.92307692307693,0.0,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0
Moorestown,0.0,42.857142857142854,0.0,0.0,7.142857142857142,0.0,7.142857142857142,42.857142857142854,0.0,0.0
Morrisville,0.0,57.14285714285714,0.0,7.142857142857142,7.142857142857142,0.0,0.0,28.57142857142857,0.0,0.0
Nashville,1.8796992481203008,25.93984962406015,7.894736842105263,4.135338345864661,3.007518796992481,6.7669172932330826,10.150375939849624,19.172932330827066,15.413533834586465,5.639097744360902
New Castle,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,37.93103448275862,0.0,34.48275862068966,24.137931034482758
New Hope,0.0,40.0,0.0,0.0,0.0,0.0,6.666666666666667,26.666666666666668,20.0,6.666666666666667
New Orleans,3.5398230088495577,23.008849557522122,7.079646017699115,6.1946902654867255,1.7699115044247788,11.504424778761061,4.424778761061947,13.274336283185843,23.008849557522122,6.1946902654867255
New Port Richey,12.5,25.0,23.214285714285715,0.0,0.0,3.571428571428571,5.357142857142857,7.142857142857142,14.285714285714285,8.928571428571429
Newark,0.0,0.0,6.451612903225806,25.806451612903224,6.451612903225806,38.70967741935484,9.67741935483871,3.225806451612903,6.451612903225806,3.225806451612903
Newfield,0.0,43.75,6.25,6.25,0.0,0.0,0.0,43.75,0.0,0.0
Norristown,0.0,3.3333333333333335,36.666666666666664,0.0,40.0,0.0,6.666666666666667,6.666666666666667,6.666666666666667,0.0
Norwood,0.0,0.0,0.0,80.0,0.0,6.666666666666667,0.0,0.0,13.333333333333334,0.0
